Word,Meaning,Frequency,diff_level
ornate,marked by complexity and richness of detail,3016.9,3
culpable,deserving blame or censure as being wrong or injurious,3017.67,3
plummet,drop sharply,3040.95,3
oligarchy,a political system governed by a few people,3045.64,3
viable,capable of life or normal growth and development,3048.79,3
dearth,an insufficient quantity or number,3059.04,3
qualm,uneasiness about the fitness of an action,3063.79,3
cognizance,the state or act of having knowledge of,3064.58,3
imposture,pretending to be another person,3077.34,3
insignia,a badge worn to show official position,3079.75,3
lope,run easily,3080.55,3
trepidation,a feeling of alarm or dread,3083.76,3
infiltrate,pass through an enemy line in a military conflict,3116.26,3
dispassionate,unaffected by strong emotion or prejudice,3120.37,3
flout,treat with contemptuous disregard,3136.1,3
panegyric,formally expressing praise,3168.87,3
gainsay,take exception to,3172.27,3
obituary,a notice of someone's death,3202.33,3
deprivation,the disadvantage that results from losing something,3207.54,3
garrulous,full of trivial conversation,3222.4,3
slur,utter indistinctly,3245.39,3
precursor,something indicating the approach of something or someone,3257.01,3
jocular,characterized by jokes and good humor,3268.71,3
obeisance,bending the head or body in reverence or submission,3279.59,3
obligatory,required by compulsion or convention,3295.12,3
overt,open and observable; not secret or hidden,3305.25,3
untoward,not in keeping with accepted standards of what is proper,3306.18,3
idiosyncrasy,a behavioral attribute peculiar to an individual,3312.66,3
fervid,characterized by intense emotion,3325.7,3
heretical,departing from accepted beliefs or standards,3343.57,3
impervious,not admitting of passage or capable of being affected,3358.76,3
perfidious,tending to betray,3367.37,3
platitude,a trite or obvious remark,3370.24,3
sporadic,recurring in scattered or unpredictable instances,3373.13,3
meticulous,marked by precise accordance with details,3383.74,3
attenuate,"become weaker, in strength, value, or magnitude",3390.54,3
polemic,"a verbal or written attack, especially of a belief or dogma",3391.51,3
holster,a sheath for carrying a handgun,3392.48,3
disburse,"expend, as from a fund",3393.45,3
penury,a state of extreme poverty or destitution,3397.35,3
flamboyant,tending to attract attention; marked by ostentatious display,3398.33,3
mollify,cause to be more favorably inclined,3405.18,3
mundane,found in the ordinary course of events,3411.07,3
incorrigible,impervious to correction by punishment,3417.97,3
foible,a minor weakness or peculiarity in someone's character,3422.92,3
gist,the central meaning or theme of a speech or literary work,3440.85,3
baleful,threatening or foreshadowing evil or tragic developments,3466.06,3
orifice,"an opening, especially one that opens into a bodily cavity",3466.06,3
contentious,showing an inclination to disagree,3468.09,3
subpoena,a writ issued to compel the attendance of a witness,3473.18,3
fluffy,like down or as soft as down,3474.2,3
dirge,a song or hymn of mourning as a memorial to a dead person,3476.25,3
amenable,disposed or willing to comply,3480.34,3
adulate,flatter in an obsequious manner,3484.44,3
inextricable,incapable of being disentangled or untied,3486.49,3
enervate,"weaken physically, mentally, or morally",3523.89,3
wheedle,"influence or urge by gentle urging, caressing, or flattering",3530.21,3
ranger,an official responsible for managing an area of forest,3559.96,3
omniscient,"knowing, seeing, or understanding everything",3562.11,3
untenable,incapable of being defended or justified,3564.25,3
ephemeral,"anything short-lived, as an insect that lives only for a day",3585.87,3
insular,relating to or characteristic of or situated on an island,3609.95,3
eclectic,selecting what seems best of various styles or ideas,3621,3
obelisk,a stone pillar tapering towards a pyramidal top,3626.56,3
contrite,feeling or expressing pain or sorrow,3636.59,3
decry,express strong disapproval of,3637.71,3
welter,a confused multitude of things,3648.94,3
voracious,devouring or craving food in great quantities,3652.32,3
torpor,a state of motor and mental inactivity,3656.83,3
distraught,deeply agitated especially from emotion,3725.96,3
savant,a learned person,3731.84,3
effrontery,audacious behavior that you have no right to,3735.38,3
hoax,something intended to deceive,3746.03,3
tepid,moderately warm,3765.11,3
dampen,lessen in force or effect,3772.32,3
eschew,avoid and stay away from deliberately,3772.32,3
quibble,evade the truth of a point by raising irrelevant objections,3779.55,3
recant,formally reject or disavow a formerly held belief,3779.55,3
crockery,ceramic dishes used for serving food,3801.42,3
guileless,innocent and free of deceit,3801.42,3
rationale,an explanation of the fundamental reasons,3806.32,3
abstruse,difficult to understand,3861,3
opulence,wealth as evidenced by sumptuous living,3878.73,3
spendthrift,someone who spends money freely or wastefully,3892.77,3
anachronism,locating something at a time when it couldn't have existed,3922.47,3
redoubtable,inspiring fear,3922.47,3
anomalous,deviating from the general or common order or type,3932.91,3
commensurate,corresponding in size or degree or extent,4000.77,3
adulation,exaggerated flattery or praise,4008.9,3
torpid,in a condition of biological rest or suspended animation,4014.35,3
quaff,swallow hurriedly or greedily or in one draught,4019.81,3
ramification,"a consequence, especially one that causes complications",4023.91,3
libertine,unrestrained by convention or morality,4026.65,3
fluke,a stroke of luck,4030.77,3
irate,feeling or showing extreme anger,4040.41,3
tirade,a speech of violent denunciation,4082.25,3
egregious,conspicuously and outrageously bad or reprehensible,4086.49,3
irascible,quickly aroused to anger,4097.81,3
cogent,powerfully persuasive,4099.24,3
sedulous,marked by care and persistent effort,4112.06,3
aggrandize,"embellish; increase the scope, power, or importance of",4161.26,3
inflammable,easily ignited,4161.26,3
evanescent,short-lived; tending to vanish or disappear,4171.54,3
asperity,harshness of manner,4217.66,3
leviathan,the largest or most massive thing of its kind,4226.71,3
bombast,pompous or pretentious talk or writing,4229.73,3
circumspect,careful to consider potential consequences and avoid risk,4243.39,3
pristine,immaculately clean and unused,4267.9,3
inimical,tending to obstruct or cause harm,4274.07,3
paragon,a perfect embodiment of a concept,4289.57,3
gouge,"an impression in a surface, as made by a blow",4355.94,3
exonerate,pronounce not guilty of criminal charges,4359.15,3
lugubrious,excessively mournful,4370.43,3
oratorio,a musical composition for voices and orchestra,4370.43,3
ogle,"stare or look at, especially with amorous intentions",4402.98,3
probity,complete and confirmed integrity,4406.26,3
putrefy,decay with an offensive smell,4412.84,3
fledgling,young bird that has just become capable of flying,4439.34,3
bogus,fraudulent; having a misleading appearance,4444.35,3
incidence,the relative frequency of occurrence of something,4478.01,3
banal,repeated too often; overfamiliar through overuse,4510.47,3
rescind,cancel officially,4513.91,3
debilitate,make weak,4541.65,3
pedantry,an ostentatious and inappropriate display of learning,4545.14,3
omnipresent,existing everywhere at once,4555.65,3
odorous,having a characteristic aroma,4562.68,3
fallacious,containing or based on incorrect reasoning,4607.12,3
esoteric,understandable only by an enlightened inner circle,4614.31,3
foolhardy,marked by defiant disregard for danger or consequences,4634.21,3
nondescript,lacking distinct or individual characteristics,4650.61,3
gregarious,temperamentally seeking and enjoying the company of others,4693.06,3
inured,made tough by habitual exposure,4702.4,3
opprobrium,a state of extreme dishonor,4709.89,3
forthright,directly and without evasion; not roundabout,4784.21,3
encomium,a formal expression of praise,4788.08,3
antiseptic,thoroughly clean and free of disease-causing organisms,4813.42,3
nefarious,extremely wicked,4815.38,3
orientation,the act of determining one's position,4819.31,3
phlegmatic,showing little emotion,4823.24,3
fortuitous,lucky; occurring by happy chance,4825.21,3
abeyance,temporary cessation or suspension,4862.91,3
exacerbate,make worse,4905.28,3
orthography,representing the sounds of a language by written symbols,4905.28,3
overwrought,deeply agitated especially from emotion,4981.75,3
onerous,burdensome or difficult to endure,5030.49,3
burgeon,grow and flourish,5041.22,3
gossamer,a gauze fabric with an extremely fine texture,5054.15,3
simper,"smile in an insincere, unnatural, or coy way",5126.46,3
iniquitous,characterized by injustice or wickedness,5128.68,3
prodigality,the trait of spending extravagantly,5146.54,3
inept,generally incompetent and ineffectual,5164.53,3
hyperbole,extravagant exaggeration,5166.78,3
aqueous,similar to or containing or dissolved in water,5247.03,3
vilify,spread negative information about,5277.48,3
atrophy,a decrease in size of an organ caused by disease or disuse,5334.62,3
innocuous,not injurious to physical or mental health,5337.03,3
stigmatize,condemn or openly brand as disgraceful,5378.3,3
trenchant,having keenness and forcefulness and penetration in thought,5400.41,3
debacle,a sudden and complete disaster,5420.22,3
opiate,a narcotic drug,5422.7,3
petulance,an irritable feeling,5457.75,4
lasso,a long noosed rope used to catch animals,5467.84,4
penchant,a strong liking or preference,5485.6,4
pugnacious,ready and able to resort to force or violence,5493.24,4
vituperate,spread negative information about,5506.04,4
ornithology,the branch of zoology that studies birds,5547.37,4
collusion,secret agreement,5727.41,4
mace,a ceremonial staff carried as a symbol of office,5755.29,4
blandishment,flattery intended to persuade,5811.87,4
noisome,causing or able to cause nausea,5823.32,4
loquacious,full of trivial conversation,5895.92,4
euphemism,an inoffensive expression substituted for an offensive one,5937.37,4
erudite,having or showing profound knowledge,5946.33,4
vertigo,a reeling sensation; a feeling that you are about to fall,5964.33,4
baneful,evil or sinister,5976.38,4
flustered,thrown into a state of agitated confusion,6006.75,4
dilettante,an amateur engaging in an activity without serious intention,6015.92,4
pusillanimous,"lacking in courage, strength, and resolution",6028.19,4
ingrained,deeply rooted; firmly fixed or held,6034.34,4
proclivity,a natural inclination,6169.74,4
mercurial,liable to sudden unpredictable change,6241.4,4
optimum,most desirable possible under a restriction,6281.19,4
hackneyed,repeated too often; overfamiliar through overuse,6328.25,4
catalyst,substance that initiates or accelerates a chemical reaction,6417.56,4
abscond,"run away, often taking something or somebody along",6435.03,4
equivocate,be deliberately ambiguous or unclear,6438.53,4
prevaricate,be deliberately ambiguous or unclear,6459.64,4
recalcitrant,stubbornly resistant to authority or control,6495.13,4
loafer,a person who is idle and does no work,6502.27,4
inopportune,not suitable for a purpose,6534.62,4
quash,declare invalid,6641.06,4
astringent,tending to draw together or constrict soft organic tissue,6754.89,4
castigate,inflict severe punishment on,6797.61,4
fulminate,cause to explode violently and with loud noise,6840.88,4
profundity,the quality of being physically deep,6844.84,4
impugn,attack as false or wrong,6856.75,4
sketchy,giving only major points; lacking completeness,6929.08,4
plethora,extreme excess,6990.54,4
obloquy,state of disgrace resulting from public abuse,7011.27,4
striate,marked with stripes,7078.43,4
dumbfound,be a mystery or bewildering to,7116.78,4
lethargic,deficient in alertness or activity,7265.48,4
chary,characterized by great caution,7296.87,4
refurbish,improve the appearance or functionality of,7319.46,4
aspersion,a disparaging remark,7342.19,4
predisposition,an inclination to interpret statements in a particular way,7401.95,4
extempore,with little or no preparation or forethought,7538.83,4
prescience,the power to foresee the future,7548.45,4
abstemious,marked by temperance in indulgence,7558.1,4
nadir,the lowest point of anything,7700.88,4
fracas,a noisy quarrel,7736.15,4
iconoclast,someone who attacks cherished ideas or institutions,7766.64,4
saturnine,bitter or scornful,7828.36,4
ebullient,joyously unrestrained,7870.05,4
exculpate,pronounce not guilty of criminal charges,7912.19,4
zealot,a fervent and even militant proponent of something,7928.1,4
ambivalent,uncertain or unable to decide about what course to follow,7954.78,4
recondite,difficult to understand,8008.66,4
jamb,a vertical side piece of a door or window frame,8041.35,4
zephyr,a slight wind,8052.3,4
paucity,an insufficient quantity or number,8312.75,4
offal,viscera and trimmings of a butchered animal,8383.49,4
antediluvian,of or relating to the period before the biblical flood,8431.32,4
overweening,presumptuously arrogant,8449.4,4
circumlocution,an indirect way of expressing something,8461.49,4
preen,clean with one's bill,8461.49,4
tyro,someone new to a field or activity,8461.49,4
gavel,a small mallet used by a presiding officer or a judge,8497.99,4
diatribe,thunderous verbal attack,8578.15,4
heterodox,characterized by departure from accepted standards,8762.54,4
lackluster,not having brilliance or vitality,8775.54,4
squelch,suppress or crush completely,8874.36,4
conifer,a type of tree or shrub bearing cones,9030.27,4
obstreperous,noisily and stubbornly defiant,9285.61,4
gaffe,a socially awkward or tactless act,9307.54,4
obliquity,the quality of being deliberately vague or deceptive,9351.72,4
opprobrious,expressing offensive reproach,9388.86,4
apocryphal,being of questionable authenticity,9396.32,4
veracious,habitually speaking the truth,9479.2,4
bellicose,having or showing a ready disposition to fight,9610.2,4
agog,highly excited,9618.01,4
misanthrope,someone who dislikes people in general,9673.1,4
stickler,someone who insists on something,9916.53,4
equivocation,intentional vagueness or ambiguity,9941.55,4
olfactory,of or relating to the sense of smell,9949.91,4
euphoria,a feeling of great elation,9983.53,4
ostracism,the act of excluding someone from society by general consent,10059.99,4
impecunious,not having enough money to pay for necessities,10120.27,4
chicanery,the use of tricks to deceive someone,10155.05,4
gullible,naive and easily deceived or tricked,10181.28,4
inauspicious,boding ill,10198.85,4
odoriferous,"emitting a smell, especially an unpleasant smell",10368.82,4
demote,assign to a lower position; reduce in rank,10442.09,4
disabuse,free somebody from an erroneous belief,10658.63,4
martinet,someone who demands exact conformity to rules and forms,10726.33,4
quintessential,representing the perfect example of a class or quality,10765.4,4
opportunist,a person who places expediency above principle,10844.4,4
desiccate,lacking vitality or spirit; lifeless,10894.37,4
intransigent,"impervious to pleas, persuasion, requests, or reason",10924.58,4
barefaced,with no effort to conceal,11016.2,4
quiescence,a state of quiet but possibly temporary)inaction,11057.42,4
onus,a burdensome or difficult concern,11067.77,4
misnomer,an incorrect or unsuitable name,11119.82,4
orison,reverent petition to a deity,11182.94,4
ornithologist,a zoologist who studies feathered animals,11398.6,4
ethos,the distinctive spirit of a culture or an era,11773.22,4
minuscule,very small,11808.5,4
feckless,generally incompetent and ineffectual,11820.31,4
interregnum,the time between two reigns or governments,12024.71,4
suborn,incite to commit a crime or an evil deed,12211.03,4
posit,take as a given; assume as a postulate or axiom,12223.66,4
opalescent,having a play of lustrous rainbow colors,12338.49,4
oculist,a person skilled in testing for defects of vision,12442.38,4
cadge,obtain or seek to obtain by wheedling,12792.46,4
turpitude,a corrupt or depraved or degenerate act or practice,12862.06,4
tangential,of superficial relevance if any,12946.58,4
gauche,lacking social poise or refinement,13206.93,4
peccadillo,a petty misdeed,13221.71,4
improvidence,"a lack of prudence, care, or foresight",13371.26,4
discrete,constituting a separate entity or part,13602.05,4
ostracize,expel from a community or group,13728.42,4
inchoate,only partly in existence; imperfectly formed,13889.73,4
obstetrician,a physician specializing in childbirth,13938.87,4
outmoded,no longer in fashion,13971.82,4
omnivorous,feeding on both plants and animals,13988.35,4
convoluted,highly complex or intricate,14206.9,4
macerate,soften and cause to disintegrate as a result,14397.24,4
foppish,overly concerned with extreme elegance in dress and manner,15212.47,4
obsidian,glass formed by the cooling of lava without crystallization,15370.71,4
mendacious,given to lying,15552.72,4
rotundity,the roundness of a 3-dimensional object,15573.21,4
optician,a worker who makes glasses for remedying defects of vision,15614.36,4
objurgate,censure severely,15676.48,4
oaf,"an awkward, foolish person",17305.99,4
bilk,"cheat somebody out of what is due, especially money",17828.01,4
objurgation,rebuking a person harshly,17990.82,4
egalitarian,favoring social equality,18212.57,4
adumbrate,describe roughly or give the main points or summary of,20994.45,4
finicky,"fussy, especially about details",21220.59,4
obfuscate,make obscure or unclear,21297.06,4
vituperative,marked by harshly abusive criticism,21335.5,4
molt,"cast off hair, skin, horn, or feathers",21929.22,4
dichotomy,a classification into two opposed parts or subclasses,22259.59,4
mettlesome,"having a proud, courageous, and unbroken spirit",23085.59,4
truculence,stubborn and defiant aggressiveness,23267.36,4
calisthenics,light exercises designed to promote general fitness,23592.44,4
aberrant,markedly different from an accepted norm,25639.42,4
epistemology,the philosophical theory of knowledge,30229.42,4
misogynist,a misanthrope who dislikes women in particular,30463.14,4
emollient,a substance with a soothing effect when applied to the skin,32741.47,4
disassemble,take apart,36706.93,4
quotidian,found in the ordinary course of events,38127.81,4
aesthete,one who professes great sensitivity to the beauty of art,38375.39,4
mollycoddle,treat with excessive indulgence,39008.63,4
congruent,corresponding in character or kind,39796.66,4
conflate,mix together different elements,55752.47,4
ligneous,consisting of or resembling wood,58512.44,4
optometrist,a person skilled in testing for defects of vision,61240.95,4
analgesic,capable of relieving pain,66030.67,4
malingerer,someone shirking duty by feigning illness or incapacity,68717.92,4
onomatopoeia,using words that imitate the sound they denote,72512.11,4
orotund,overly formal and pompous in style,72959.71,4
limerick,a humorous rhymed verse form of five lines,93805.05,4
polymath,a person of great and varied learning,107449.28,4
faddish,intensely fashionable or popular for a short time,117023.88,4
malapropism,misuse of a word by confusion with one that sounds similar,134311.35,4
