Word,Meaning,Frequency,diff_level
maverick,someone who exhibits independence in thought and action,2366.75,3.0
dirge,a song or hymn of mourning as a memorial to a dead person,3476.25,2.0
banal,repeated too often; overfamiliar through overuse,4510.47,2.0
whimsical,determined by chance or impulse rather than by necessity,1140.21,1.0
unequivocal,admitting of no doubt or misunderstanding,2727.48,3.0
annex,attach to,642.52,1.0
waver,pause or hold back in uncertainty or unwillingness,500.84,1.0
orientation,the act of determining one's position,4819.31,3.0
distract,draw someone's attention away from something,321.78,1.0
sublime,of high moral or intellectual value,320.67,1.0
felon,someone who has been legally convicted of a crime,2347.5,3.0
gossamer,a gauze fabric with an extremely fine texture,5054.15,3.0
caustic,capable of destroying or eating away by chemical action,1903.35,2.0
exhort,spur on or encourage especially by cheers and shouts,595.38,1.0
coherent,marked by an orderly and consistent relation of parts,868.41,1.0
intact,undamaged in any way,1134.09,2.0
dupe,fool or hoax,1382.41,1.0
tantalize,harass with persistent teasing or baiting,2643.96,3.0
tremor,"an involuntary vibration, as if from illness or fear",1250.66,2.0
cower,crouch or curl up,367.76,1.0
ameliorate,make better,2819.82,3.0
ogle,"stare or look at, especially with amorous intentions",4402.98,3.0
iniquity,absence of moral or spiritual values,661.52,1.0
macerate,soften and cause to disintegrate as a result,14397.24,4.0
predisposition,an inclination to interpret statements in a particular way,7401.95,4.0
eclectic,selecting what seems best of various styles or ideas,3621.0,3.0
maelstrom,a powerful circular current of water,7567.78,3.0
recompense,make payment to,1123.65,2.0
rejoinder,a quick reply to a question or remark,2553.22,2.0
swindle,(offensive) deprive of by deceit,1473.44,2.0
controversial,marked by or capable of causing disagreement,823.5,1.0
livid,furiously angry,1695.52,1.0
obstreperous,noisily and stubbornly defiant,9285.61,4.0
flinch,"draw back, as with fear or pain",1128.37,2.0
truculence,stubborn and defiant aggressiveness,23267.36,4.0
dissemble,behave unnaturally or affectedly,2283.6,1.0
stipulate,make an express demand or provision in an agreement,868.79,2.0
finicky,"fussy, especially about details",21220.59,4.0
opalescent,having a play of lustrous rainbow colors,12338.49,4.0
indignant,angered at something unjust or wrong,299.85,1.0
traitor,a person who says one thing and does another,359.61,1.0
expurgate,edit by omitting or modifying parts considered indelicate,13696.61,3.0
peer,look searchingly,174.63,1.0
molt,"cast off hair, skin, horn, or feathers",21929.22,4.0
aptitude,inherent ability,1738.62,2.0
pathology,the branch of medical science that studies diseases,1717.92,2.0
redress,make reparations or amends for,1165.23,1.0
agog,highly excited,9618.01,4.0
euphemism,an inoffensive expression substituted for an offensive one,5937.37,2.0
venerate,regard with feelings of respect and reverence,313.53,1.0
fraud,intentional deception resulting in injury to another person,332.18,1.0
glib,artfully persuasive in speech,2543.88,2.0
exploit,use or manipulate to one's advantage,324.0,1.0
stockade,fortification consisting of a fence set firmly for defense,1780.75,2.0
sycophant,a person who tries to please someone to gain an advantage,5425.19,2.0
ethos,the distinctive spirit of a culture or an era,11773.22,4.0
exigent,demanding immediate attention,1652.43,2.0
quotidian,found in the ordinary course of events,38127.81,4.0
elegy,a mournful poem; a lament for the dead,2023.47,1.0
alacrity,liveliness and eagerness,1532.0,2.0
aggrandize,"embellish; increase the scope, power, or importance of",4161.26,2.0
circumspect,careful to consider potential consequences and avoid risk,4243.39,3.0
atrophy,a decrease in size of an organ caused by disease or disuse,5334.62,3.0
eloquence,powerful and effective language,404.2,1.0
culpable,deserving blame or censure as being wrong or injurious,3017.67,3.0
commensurate,corresponding in size or degree or extent,4000.77,3.0
leviathan,the largest or most massive thing of its kind,4226.71,3.0
quiver,"shake with fast, tremulous movements",269.85,1.0
obliterate,remove completely from recognition or memory,1027.87,2.0
loquacious,full of trivial conversation,5895.92,4.0
stark,severely simple,836.94,1.0
curb,the act of restraining power or action or limiting excess,769.09,1.0
condescend,behave in a patronizing manner,536.56,1.0
panoply,a complete and impressive array,7159.88,3.0
engrossed,giving or marked by complete attention to,1397.59,2.0
crave,have an appetite or great desire for,442.23,1.0
plucky,showing courage,2413.6,1.0
drought,a shortage of rainfall,879.04,2.0
posit,take as a given; assume as a postulate or axiom,12223.66,3.0
prompt,according to schedule or without delay,107.19,1.0
preclude,"make impossible, especially beforehand",1742.98,2.0
infuse,"fill, as with a certain quality",913.62,2.0
obdurate,stubbornly persistent in wrongdoing,2891.51,3.0
harangue,a loud bombastic declamation expressed with strong emotion,1483.79,2.0
malediction,the act of calling down a curse that invokes evil,5407.82,2.0
upbraid,express criticism towards,2043.39,1.0
efficacious,giving the power to produce an intended result,2469.01,3.0
burlesque,a theatrical entertainment of broad and earthy humor,1800.8,2.0
proclivity,a natural inclination,6169.74,2.0
trample,tread or stomp heavily or roughly,531.58,1.0
shirk,avoid one's assigned duties,1998.52,2.0
distaff,a stick on which wool or flax is wound before spinning,6355.47,2.0
squalid,foul and run-down and repulsive,2329.93,3.0
contingent,determined by conditions or circumstances that follow,629.42,1.0
solecism,a socially awkward or tactless act,12764.83,3.0
reticent,reluctant to draw attention to yourself,1374.54,1.0
transitory,lasting a very short time,2528.11,1.0
stasis,inactivity resulting from a balance between opposing forces,48841.13,4.0
extent,the point or degree to which something extends,102.55,1.0
officious,intrusive in a meddling or offensive manner,3001.59,2.0
tacit,implied by or inferred from actions or statements,1418.35,1.0
craven,lacking even the rudiments of courage; abjectly fearful,1366.6,2.0
lizard,relatively long-bodied reptile with legs and a tapering tail,1242.13,2.0
circumlocution,an indirect way of expressing something,8461.49,4.0
catalyst,substance that initiates or accelerates a chemical reaction,6417.56,2.0
feud,a bitter quarrel between two parties,926.77,2.0
pithy,concise and full of meaning,5634.61,2.0
denunciation,a public act of condemnation,1394.95,2.0
emollient,a substance with a soothing effect when applied to the skin,32741.47,4.0
sedulous,marked by care and persistent effort,4112.06,3.0
edify,make understand,1293.43,1.0
laudable,worthy of high praise,2227.28,3.0
arbitrate,act between parties with a view to reconciling differences,1000.35,1.0
collusion,secret agreement,5727.41,4.0
ostracize,expel from a community or group,13728.42,4.0
chicanery,the use of tricks to deceive someone,10155.05,3.0
quack,the sound made by a duck,1664.99,2.0
dissemble,behave unnaturally or affectedly,2283.6,3.0
glower,look angry or sullen as if to signal disapproval,3404.2,2.0
transgress,"act in disregard of laws, rules, contracts, or promises",795.1,1.0
lull,make calm or still,806.84,1.0
quiescent,being quiet or still or inactive,3996.71,2.0
sinister,"wicked, evil, or dishonorable",721.6,1.0
guarded,cautious and reserved,320.62,1.0
corporal,affecting the body as opposed to the mind or spirit,546.0,1.0
erudite,having or showing profound knowledge,5946.33,4.0
obelisk,a stone pillar tapering towards a pyramidal top,3626.56,3.0
libertine,unrestrained by convention or morality,4026.65,2.0
ligneous,consisting of or resembling wood,58512.44,4.0
precipice,a very steep cliff,481.36,1.0
analgesic,capable of relieving pain,66030.67,4.0
divest,take away possessions from someone,1545.81,2.0
leery,openly distrustful and unwilling to confide,19472.68,4.0
annotate,add explanatory notes to or supply with critical comments,2080.4,2.0
naive,marked by or showing unaffected simplicity,1886.66,1.0
exemplary,worthy of imitation,2064.07,2.0
fortuitous,lucky; occurring by happy chance,4825.21,2.0
lucrative,producing a sizeable profit,1338.78,2.0
mistrust,regard with suspicion,1456.04,2.0
note, a brief written record,22.96,1.0
plod,"walk heavily and firmly, as when weary, or through mud",1373.42,2.0
militate,have force or influence; bring about an effect or change,9300.22,3.0
philanthropist,someone who makes charitable donations,1888.77,2.0
belfry,a tower in which bells are hung,3561.03,2.0
quotidian,found in the ordinary course of events,38127.81,4.0
proliferate,grow rapidly,2811.11,2.0
obstetrician,a physician specializing in childbirth,13938.87,4.0
pedantry,an ostentatious and inappropriate display of learning,4545.14,3.0
judicious,marked by the exercise of common sense in practical matters,616.69,1.0
tarnish,"make or become dirty or dull, as by exposure to air",1751.49,2.0
levy,impose and collect,459.4,1.0
guile,shrewdness as demonstrated by being skilled in deception,1399.9,1.0
convoke,call together,2276.13,3.0
intrigue,a crafty and involved plot to achieve your ends,353.08,1.0
peccadillo,a petty misdeed,13221.71,3.0
articulate,express or state clearly,638.26,1.0
zealot,a fervent and even militant proponent of something,7928.1,4.0
inundate,"fill or cover completely, usually with water",1555.56,2.0
martial,suggesting war or military life,879.82,2.0
subdue,put down by force or intimidation,288.36,1.0
vicious,having the nature of evildoing,476.97,1.0
prodigal,recklessly wasteful,1115.08,2.0
proclivity,a natural inclination,6169.74,4.0
coerce,cause to do through pressure or necessity,1217.23,2.0
sacrosanct,treated as if holy and kept free from violation or criticism,17828.01,3.0
rhetoric,study of the technique for using language effectively,520.85,1.0
dislodge,remove or force from a position previously occupied,1965.97,2.0
indolent,disinclined to work or exertion,799.82,1.0
propensity,a natural inclination,1375.98,2.0
magnanimity,nobility and generosity of spirit,1953.96,2.0
sybarite,a person addicted to luxury and pleasures of the senses,6920.97,3.0
affable,diffusing warmth and friendliness,1259.98,2.0
deposition,the act of putting something somewhere,1585.36,2.0
ghastly,shockingly repellent; inspiring horror,590.23,1.0
spell,write or name the letters that comprise the accepted form of,164.05,1.0
dogmatic,pertaining to a code of beliefs accepted as authoritative,2146.07,2.0
steadfast,marked by firm determination or resolution; not shakable,657.34,1.0
phlegmatic,showing little emotion,4823.24,3.0
congruent,corresponding in character or kind,39796.66,4.0
conjure,summon into action or bring into existence,604.12,1.0
abyss,a bottomless gulf or pit,814.5,1.0
foible,a minor weakness or peculiarity in someone's character,3422.92,3.0
detached,no longer connected or joined,618.0,1.0
morose,showing a brooding ill humor,2157.02,2.0
abjure,formally reject or disavow a formerly held belief,3003.11,2.0
optometrist,a person skilled in testing for defects of vision,61240.95,4.0
buttress,a support usually of stone or brick,1929.42,2.0
enchant,cast a spell over someone or something,304.0,1.0
deface,mar or spoil the appearance of,2999.3,2.0
recluse,one who lives in solitude,2847.65,3.0
subpoena,a writ issued to compel the attendance of a witness,3473.18,3.0
heretic,a person whose religious beliefs conflict with church dogma,819.63,1.0
omnipresent,existing everywhere at once,4555.65,3.0
temperate,not extreme,725.18,1.0
austere,of a stern or strict bearing or demeanor,583.49,1.0
venerable,profoundly honored,480.14,1.0
disassemble,take apart,36706.93,4.0
desiccate,lacking vitality or spirit; lifeless,10894.37,4.0
defray,bear the expenses of,2631.02,2.0
impede,be a hindrance or obstacle to,644.79,1.0
console,give moral or emotional strength to,198.11,1.0
anachronism,locating something at a time when it couldn't have existed,3922.47,3.0
mend,restore by putting together what is torn or broken,416.03,1.0
inundate,"fill or cover completely, usually with water",1555.56,1.0
insipid,lacking interest or significance or impact,2558.19,3.0
stigmatize,condemn or openly brand as disgraceful,5378.3,3.0
declivity,a downward slope or bend,3222.4,2.0
peregrinate,"travel around, through, or over, especially on foot",11714.89,3.0
decorous,characterized by propriety and dignity and good taste,1915.06,2.0
onslaught,an offensive against an enemy,1837.44,2.0
profound,situated at or extending to great depth,155.59,1.0
interregnum,the time between two reigns or governments,12024.71,3.0
dictum,an authoritative declaration,2674.45,2.0
inchoate,only partly in existence; imperfectly formed,13889.73,4.0
epicure,a person devoted to refined sensuous enjoyment,3193.68,2.0
dupe,fool or hoax,1382.41,2.0
intrepid,invulnerable to fear or intimidation,1387.92,1.0
scintilla,a tiny or scarcely detectable amount,4406.26,2.0
blithe,carefree and happy and lighthearted,1450.16,2.0
fallacious,containing or based on incorrect reasoning,4607.12,3.0
paragon,a perfect embodiment of a concept,4289.57,3.0
precedence,status established in order of importance or urgency,1769.3,2.0
covert,secret or hidden,963.56,2.0
verbose,using or containing too many words,11476.06,3.0
covet,"wish, long, or crave for",816.01,1.0
emissary,someone sent to represent another's interests,1708.25,2.0
obese,excessively large,1501.1,2.0
forestall,keep from happening or arising; make impossible,2194.23,1.0
spine,the series of vertebrae forming the backbone,627.09,1.0
induce,cause to act in a specified manner,135.46,1.0
mores,the conventions embodying the fundamental values of a group,4319.35,2.0
effrontery,audacious behavior that you have no right to,3735.38,2.0
furtive,secret and sly,1024.67,1.0
lethargic,deficient in alertness or activity,7265.48,4.0
refractory,stubbornly resistant to authority or control,2923.68,3.0
ingenious,showing inventiveness and skill,265.98,1.0
consign,give over to another for care or safekeeping,1010.16,2.0
zephyr,a slight wind,8052.3,3.0
plaintive,expressing sorrow,1021.31,2.0
eulogy,a formal expression of praise for someone who has died,1415.98,1.0
anomalous,deviating from the general or common order or type,3932.91,3.0
espouse,"choose and follow a theory, idea, policy, etc.",1387.1,2.0
hermetic,completely sealed or airtight,6160.1,2.0
agitate,move or cause to move back and forth,179.5,1.0
esoteric,understandable only by an enlightened inner circle,4614.31,3.0
invidious,containing or implying a slight or showing prejudice,4702.4,2.0
wily,marked by skill in deception,1695.77,1.0
misanthrope,someone who dislikes people in general,9673.1,4.0
aberrant,markedly different from an accepted norm,25639.42,4.0
tenable,based on sound reasoning or evidence,2400.86,3.0
connoisseur,an expert able to appreciate a field,1963.69,1.0
rationale,an explanation of the fundamental reasons,3806.32,3.0
gregarious,temperamentally seeking and enjoying the company of others,4693.06,3.0
acquiesce,agree or express agreement,656.06,1.0
obtrusive,sticking out; protruding,1773.54,2.0
practitioner,someone who carries out a learned profession,1497.68,2.0
voracious,devouring or craving food in great quantities,3652.32,3.0
aqueous,similar to or containing or dissolved in water,5247.03,3.0
molt,"cast off hair, skin, horn, or feathers",21929.22,4.0
banal,repeated too often; overfamiliar through overuse,4510.47,3.0
implacable,incapable of being appeased or pacified,1576.7,2.0
elicit,"call forth, as an emotion, feeling, or response",1399.24,2.0
bizarre,conspicuously or grossly unconventional or unusual,1553.31,2.0
pluck,pull lightly but sharply,305.77,1.0
wizened,lean and wrinkled by shrinkage as from age or illness,7715.95,3.0
diaphanous,so thin as to transmit light,10620.33,3.0
avid,marked by active interest and enthusiasm,1989.44,2.0
abate,become less in amount or intensity,655.45,1.0
imposture,pretending to be another person,3077.34,3.0
enlist,join the military,431.94,1.0
forgery,criminal falsification by making or altering an instrument,1569.17,2.0
pundit,an expert who publicly gives opinions via mass media,2961.01,3.0
preamble,"a preliminary introduction, as to a statute or constitution",2990.2,3.0
ostensible,appearing as such but not necessarily so,1349.62,1.0
charter,a document creating an institution and specifying its rights,348.36,1.0
inexorable,"impossible to prevent, resist, or stop",1240.18,1.0
jettison,"throw away, of something encumbering",10765.4,3.0
burgeon,grow and flourish,5041.22,3.0
somber,serious and gloomy in character,1960.76,2.0
axiom,a proposition that is not susceptible of proof or disproof,1886.36,1.0
plebeian,of or associated with the great masses of people,1907.34,1.0
caustic,capable of destroying or eating away by chemical action,1903.35,1.0
expend,use up or consume fully,113.07,1.0
impunity,exemption from punishment or loss,1502.06,2.0
nuance,a subtle difference in meaning or opinion or attitude,5289.28,2.0
immutable,not subject or susceptible to change or variation,2447.56,3.0
jest,activity characterized by good humor,200.26,1.0
wary,marked by keen caution and watchful prudence,603.41,1.0
supplant,take the place or move into the position of,1568.96,2.0
cajole,"influence or urge by gentle urging, caressing, or flattering",2719.33,3.0
tyro,someone new to a field or activity,8461.49,4.0
devoid,completely wanting or lacking,972.5,2.0
sardonic,disdainfully or ironically humorous,2184.5,1.0
elusive,skillful at evading capture,1593.04,2.0
opulence,wealth as evidenced by sumptuous living,3878.73,3.0
malevolent,wishing or appearing to wish evil to others,2360.14,3.0
ebullient,joyously unrestrained,7870.05,3.0
welter,a confused multitude of things,3648.94,3.0
abstruse,difficult to understand,3861.0,3.0
augury,an event indicating important things to come,4479.71,2.0
philistine,a person who is uninterested in intellectual pursuits,19126.1,4.0
fervent,characterized by intense emotion,570.58,1.0
demur,politely refuse or take exception to,1921.9,1.0
dubious,fraught with uncertainty or doubt,922.8,2.0
parry,impede the movement of,1495.79,1.0
stint,supply sparingly and with restricted quantities,1251.19,2.0
tyro,someone new to a field or activity,8461.49,3.0
confine,place limits on,129.54,1.0
disparate,fundamentally different or distinct in quality or kind,2144.9,2.0
vogue,a current state of general acceptance and use,1212.62,2.0
petulance,an irritable feeling,5457.75,4.0
disparity,inequality or difference in some respect,3012.29,3.0
catholic,comprehensive or broad-minded in tastes and interests,4407.9,2.0
vex,"disturb, especially by minor irritations",282.28,1.0
ornithologist,a zoologist who studies feathered animals,11398.6,4.0
hamper,prevent the progress or free movement of,768.74,1.0
concur,happen simultaneously,633.05,1.0
epistemology,the philosophical theory of knowledge,30229.42,4.0
latitude,an imaginary line around the Earth parallel to the equator,382.4,1.0
diatribe,thunderous verbal attack,8578.15,4.0
prodigality,the trait of spending extravagantly,5146.54,3.0
forestall,keep from happening or arising; make impossible,2194.23,2.0
vilify,spread negative information about,5277.48,3.0
vigor,forceful exertion,148.43,1.0
pedant,a person who is preoccupied with rules and learning,1363.14,2.0
odorous,having a characteristic aroma,4562.68,3.0
imprecation,the act of calling down a curse that invokes evil,2869.07,2.0
sinecure,a job that involves minimal duties,6495.13,2.0
oligarchy,a political system governed by a few people,3045.64,3.0
perfidious,tending to betray,3367.37,2.0
stifled,held in check with difficulty,1276.56,2.0
goad,stab or urge on as if with a pointed stick,1610.82,2.0
levity,a manner lacking seriousness,1864.07,1.0
feign,make believe with the intent to deceive,739.2,1.0
odium,hate coupled with disgust,688.53,1.0
phlegmatic,showing little emotion,4823.24,2.0
prattle,speak about unimportant matters rapidly and incessantly,2371.5,1.0
brood,"hang over, as of something threatening, dark, or menacing",359.24,1.0
impetuous,characterized by undue haste and lack of thought,633.22,1.0
conspicuous,obvious to the eye or mind,288.02,1.0
surfeit,indulge (one's appetite) to satiety,4243.39,2.0
veritable,not counterfeit or copied,1037.87,2.0
adulation,exaggerated flattery or praise,4008.9,3.0
forge,create by hammering,334.37,1.0
engender,call forth,1631.25,2.0
precipitate,bring about abruptly,506.9,1.0
adverse,in an opposing direction,552.27,1.0
apprehension,fearful expectation or anticipation,307.45,1.0
tawdry,tastelessly showy,4048.71,2.0
precis,a sketchy summary of the main points of an argument,76749.77,4.0
optimum,most desirable possible under a restriction,6281.19,4.0
conducive,tending to bring about; being partly responsible for,2792.52,3.0
obnoxious,causing disapproval or protest,1730.23,2.0
tirade,a speech of violent denunciation,4082.25,3.0
foster,providing nurture though not related by blood or legal ties,651.31,1.0
deft,skillful in physical movements; especially of the hands,1008.53,2.0
mendicant,a pauper who lives by begging,3028.49,2.0
gauche,lacking social poise or refinement,13206.93,4.0
consternation,sudden shock or dismay that causes confusion,824.53,1.0
nocturnal,belonging to or active during the night,1920.03,2.0
myopic,unable to see distant objects clearly,12848.08,3.0
gloat,dwell on with satisfaction,2484.05,3.0
plea,a humble request for help from someone in authority,441.89,1.0
heretical,departing from accepted beliefs or standards,3343.57,3.0
nascent,being born or beginning,5078.02,2.0
fulminate,cause to explode violently and with loud noise,6840.88,4.0
orthography,representing the sounds of a language by written symbols,4905.28,3.0
apprise,inform somebody of something,2120.3,2.0
overt,open and observable; not secret or hidden,3305.25,3.0
limerick,a humorous rhymed verse form of five lines,93805.05,4.0
idiosyncrasy,a behavioral attribute peculiar to an individual,3312.66,2.0
obfuscate,make obscure or unclear,21297.06,4.0
profligate,unrestrained by convention or morality,1599.72,1.0
assess,"estimate the nature, quality, ability or significance of",460.86,1.0
hackneyed,repeated too often; overfamiliar through overuse,6328.25,4.0
offal,viscera and trimmings of a butchered animal,8383.49,4.0
propriety,correct behavior,440.15,1.0
obsession,an unhealthy and compulsive preoccupation with something,1885.16,2.0
opprobrium,a state of extreme dishonor,4709.89,3.0
winsome,charming in a childlike or naive way,3181.65,2.0
frown,a facial expression of dislike or displeasure,250.86,1.0
perfunctory,hasty and without attention to detail; not thorough,2985.67,3.0
ingrained,deeply rooted; firmly fixed or held,6034.34,4.0
antediluvian,of or relating to the period before the biblical flood,8431.32,4.0
concession,the act of yielding,443.22,1.0
contentious,showing an inclination to disagree,3468.09,3.0
verdant,characterized by abundance of vegetation and green foliage,2144.12,1.0
insular,relating to or characteristic of or situated on an island,3609.95,3.0
stray,wander from a direct course or at random,404.69,1.0
idiosyncrasy,a behavioral attribute peculiar to an individual,3312.66,3.0
intrepid,invulnerable to fear or intimidation,1387.92,2.0
mitigate,lessen or to try to lessen the seriousness or extent of,975.63,2.0
orifice,"an opening, especially one that opens into a bodily cavity",3466.06,3.0
iconoclast,someone who attacks cherished ideas or institutions,7766.64,4.0
repose,freedom from activity,265.21,1.0
exculpate,pronounce not guilty of criminal charges,7912.19,4.0
sedition,an illegal action inciting resistance to lawful authority,1472.89,1.0
conspire,act in agreement and in secret towards a deceitful purpose,223.5,1.0
bolster,support and strengthen,1343.19,2.0
analgesia,absence of the sense of pain without loss of consciousness,139051.71,4.0
interregnum,the time between two reigns or governments,12024.71,4.0
ornithology,the branch of zoology that studies birds,5547.37,4.0
oblivion,the state of being disregarded or forgotten,666.43,1.0
benevolent,showing or motivated by sympathy and understanding,395.65,1.0
weary,physically and mentally fatigued,84.74,1.0
trepidation,a feeling of alarm or dread,3083.76,3.0
loll,be lazy or idle,2607.82,3.0
sway,move back and forth,241.97,1.0
cant,a slope in the turn of a road or track,952.64,2.0
collusion,secret agreement,5727.41,2.0
antipathy,a feeling of intense dislike,1698.93,2.0
grovel,show submission or fear,2912.88,2.0
baneful,evil or sinister,5976.38,4.0
heterodox,characterized by departure from accepted standards,8762.54,4.0
surly,unfriendly and inclined toward anger or irritation,1518.83,1.0
spendthrift,someone who spends money freely or wastefully,3892.77,3.0
enigma,something that baffles understanding and cannot be explained,1126.43,2.0
pillage,steal goods; take as spoils,1283.34,2.0
garner,assemble or get together,1731.75,1.0
gird,bind with something round or circular,1153.77,2.0
gorge,"a deep ravine, usually with a river running through it",548.11,1.0
defiance,a hostile challenge,458.9,1.0
encomium,a formal expression of praise,4788.08,2.0
adulterate,make impure by adding a foreign or inferior substance,2689.04,3.0
torpid,in a condition of biological rest or suspended animation,4014.35,3.0
wheedle,"influence or urge by gentle urging, caressing, or flattering",3530.21,3.0
disguise,any attire that conceals the wearer's identity,237.02,1.0
vicissitude,a variation in circumstances or fortune,1701.38,1.0
approbation,official acceptance or agreement,715.29,1.0
bogus,fraudulent; having a misleading appearance,4444.35,3.0
astringent,tending to draw together or constrict soft organic tissue,6754.89,4.0
preen,clean with one's bill,8461.49,4.0
omnipotent,having unlimited power,1353.17,2.0
ossify,become bony,11464.93,3.0
censure,harsh criticism or disapproval,525.25,1.0
zenith,the highest point of something,1862.31,2.0
turpitude,a corrupt or depraved or degenerate act or practice,12862.06,4.0
fawn,a young deer,1071.59,1.0
gist,the central meaning or theme of a speech or literary work,3440.85,3.0
malign,speak unfavorably about,1509.72,2.0
narcotic,a drug that produces numbness or stupor,2114.23,2.0
desiccate,lacking vitality or spirit; lifeless,10894.37,3.0
captor,a person who entraps and holds someone else,1206.81,2.0
startle,surprise greatly,138.49,1.0
quibble,evade the truth of a point by raising irrelevant objections,3779.55,3.0
stake,a strong wooden or metal post driven into the ground,177.94,1.0
ambivalent,uncertain or unable to decide about what course to follow,7954.78,4.0
bilk,"cheat somebody out of what is due, especially money",17828.01,4.0
salvage,rescuing a ship or its crew from a shipwreck or a fire,2070.93,2.0
zephyr,a slight wind,8052.3,4.0
intractable,difficult to manage or mold,4950.46,2.0
precipitous,extremely steep,1544.6,2.0
aesthete,one who professes great sensitivity to the beauty of art,38375.39,4.0
nadir,the lowest point of anything,7700.88,4.0
intransigent,"impervious to pleas, persuasion, requests, or reason",10924.58,4.0
flimsy,a thin strong lightweight translucent paper,2320.33,3.0
inept,generally incompetent and ineffectual,5164.53,3.0
bevy,a flock of birds,4907.31,2.0
neologism,a newly invented word or phrase,49248.13,4.0
obscure,not clearly understood or expressed,180.91,1.0
ominous,threatening or foreshadowing evil or tragic developments,624.02,1.0
overhaul,"make repairs, renovations, revisions or adjustments to",858.65,1.0
chary,characterized by great caution,7296.87,4.0
trenchant,having keenness and forcefulness and penetration in thought,5400.41,2.0
polemic,"a verbal or written attack, especially of a belief or dogma",3391.51,2.0
demagogue,a leader who seeks support by appealing to popular passions,2872.55,2.0
dilettante,an amateur engaging in an activity without serious intention,6015.92,4.0
estimable,deserving of respect or high regard,1312.07,1.0
aberrant,markedly different from an accepted norm,25639.42,4.0
presumptuous,"going beyond what is appropriate, permitted, or courteous",1923.46,2.0
caprice,a sudden desire,552.3,1.0
impervious,not admitting of passage or capable of being affected,3358.76,3.0
languid,lacking spirit or liveliness,767.99,1.0
inextricable,incapable of being disentangled or untied,3486.49,3.0
euphoria,a feeling of great elation,9983.53,4.0
obituary,a notice of someone's death,3202.33,3.0
recant,formally reject or disavow a formerly held belief,3779.55,3.0
impromptu,with little or no preparation or forethought,2582.76,3.0
vim,a healthy capacity for vigorous activity,10377.92,3.0
neglect,leave undone or leave out,133.75,1.0
mirth,great merriment,467.15,1.0
malingerer,someone shirking duty by feigning illness or incapacity,68717.92,4.0
ford,cross a river where it's shallow,1250.66,1.0
canard,a deliberately misleading fabrication,19999.83,4.0
admonish,scold or reprimand; take to task,652.7,1.0
pedant,a person who is preoccupied with rules and learning,1363.14,1.0
bilk,"cheat somebody out of what is due, especially money",17828.01,3.0
evict,expel or eject without recourse to legal process,3005.4,3.0
impetuous,characterized by undue haste and lack of thought,633.22,1.0
ensign,a person who holds a commissioned rank in the U.S. Navy,1119.51,2.0
exuberant,joyously unrestrained,1959.14,2.0
knell,the sound of a bell rung slowly to announce a death,3791.67,2.0
boor,a crude uncouth ill-bred person lacking refinement,2850.4,2.0
digress,wander from a direct or straight course,2146.45,2.0
veracity,unwillingness to tell lies,1890.88,2.0
uphold,"stand up for; stick up for; of causes, principles, or ideals",563.21,1.0
notion,a general inclusive concept,132.58,1.0
florid,elaborately or excessively ornamented,2384.89,3.0
fluffy,like down or as soft as down,3474.2,3.0
dilettante,an amateur engaging in an activity without serious intention,6015.92,2.0
august,profoundly honored,1688.51,1.0
aerie,"the lofty nest of a bird of prey, such as a hawk or eagle",56824.61,4.0
rustic,characteristic of rural life,716.19,1.0
unconscionable,greatly exceeding bounds of reason or moderation,8559.52,3.0
vigilance,the process of paying close and continuous attention,1037.51,2.0
inopportune,not suitable for a purpose,6534.62,4.0
deter,turn away from as by fear or persuasion,783.84,1.0
stiff,incapable of or resistant to bending,158.1,1.0
banter,light teasing repartee,1652.9,2.0
lapidary,relating to precious stones or the art of working with them,14719.94,3.0
allegation,a formal accusation against somebody,808.27,1.0
pine,a coniferous tree,180.03,1.0
exacerbate,make worse,4905.28,3.0
propitiate,make peace with,2029.37,1.0
leaven,a substance used to produce fermentation in dough,1841.73,2.0
dyspeptic,suffering from indigestion,3473.18,2.0
pastiche,a work of art that imitates the style of some previous work,21848.15,4.0
guileless,innocent and free of deceit,3801.42,3.0
pusillanimous,"lacking in courage, strength, and resolution",6028.19,2.0
perfidious,tending to betray,3367.37,3.0
pulchritude,"physical beauty, especially of a woman",68717.92,4.0
perfunctory,hasty and without attention to detail; not thorough,2985.67,2.0
malinger,"avoid responsibilities and duties, often by faking illness",21888.61,4.0
castigate,inflict severe punishment on,6797.61,4.0
aspiration,a cherished desire,577.86,1.0
chaos,formless state of matter before the creation of the cosmos,698.18,1.0
ebullient,joyously unrestrained,7870.05,4.0
slake,"satisfy, as thirst",4944.25,2.0
suborn,incite to commit a crime or an evil deed,12211.03,4.0
calisthenics,light exercises designed to promote general fitness,23592.44,4.0
subside,wear off or die down,551.97,1.0
dilatory,wasting time,5934.39,2.0
opaque,not transmitting or reflecting light or radiant energy,2092.91,2.0
machination,a crafty and involved plot to achieve your ends,3026.94,2.0
conjecture,believe especially on uncertain or tentative grounds,399.33,1.0
specious,plausible but false,2838.09,3.0
opprobrium,a state of extreme dishonor,4709.89,2.0
harbor,a sheltered port where ships can take on or discharge cargo,242.93,1.0
gravel,rock fragments and pebbles,549.03,1.0
epistle,"a specially long, formal letter",1524.7,2.0
approbation,official acceptance or agreement,715.29,1.0
euphony,any pleasing and harmonious sounds,9366.54,3.0
obvious,easily perceived by the senses or grasped by the mind,107.14,1.0
engender,call forth,1631.25,1.0
